,Age,Monthly_Bill,Total_Usage_GB,Churn,Gender_Female,Gender_Male,Location_Chicago,Location_Houston,Location_Los Angeles,Location_Miami,Location_New York,Subscription_Length_Group_1 - 12,Subscription_Length_Group_13 - 24
0,63,73.36,236,0,0,1,0,0,1,0,0,0,1
1,62,48.76,172,0,1,0,0,0,0,0,1,1,0
2,24,85.47,460,0,1,0,0,0,1,0,0,1,0
3,36,97.94,297,1,1,0,0,0,0,1,0,1,0
4,46,58.14,266,0,1,0,0,0,0,1,0,0,1
5,67,82.65,456,1,0,1,0,0,0,0,1,0,1
6,30,73.79,269,0,1,0,1,0,0,0,0,1,0
7,67,97.7,396,1,1,0,0,0,0,1,0,1,0
8,20,42.45,150,1,1,0,0,0,0,1,0,1,0
9,53,64.49,383,1,1,0,0,0,1,0,0,1,0
10,50,88.49,442,0,1,0,0,0,0,1,0,1,0
11,44,95.71,295,1,0,1,0,0,1,0,0,0,1
12,34,90.42,148,1,1,0,0,0,0,1,0,1,0
13,28,58.48,239,1,0,1,1,0,0,0,0,0,1
14,42,46.87,233,0,0,1,1,0,0,0,0,0,1
15,55,61.11,231,1,1,0,0,1,0,0,0,0,1
16,43,81.4,231,1,1,0,0,0,0,0,1,1,0
17,63,83.31,198,0,0,1,1,0,0,0,0,1,0
18,31,63.4,236,0,0,1,0,0,0,1,0,0,1
19,41,58.76,354,0,1,0,1,0,0,0,0,1,0
20,58,49.56,429,0,1,0,0,1,0,0,0,1,0
21,64,99.79,243,0,0,1,0,1,0,0,0,0,1
22,50,62.45,270,1,0,1,1,0,0,0,0,0,1
23,70,51.21,389,1,0,1,0,0,1,0,0,1,0
24,18,68.91,226,1,1,0,0,0,0,0,1,1,0
25,20,75.69,393,0,1,0,0,0,1,0,0,0,1
26,46,81.76,89,1,1,0,0,1,0,0,0,0,1
27,25,82.74,183,0,0,1,0,0,1,0,0,1,0
28,31,72.09,270,0,0,1,0,0,0,1,0,1,0
29,53,93.91,456,1,0,1,0,0,1,0,0,0,1
30,27,42.92,135,1,1,0,0,0,0,1,0,1,0
31,18,75.74,185,0,0,1,0,0,0,0,1,1,0
32,66,61.1,151,1,1,0,0,0,0,1,0,1,0
33,62,77.35,115,1,0,1,0,0,0,1,0,1,0
34,29,79.82,269,1,0,1,0,0,1,0,0,1,0
35,62,73.5,194,1,0,1,0,0,0,0,1,0,1
36,66,59.0,278,1,1,0,1,0,0,0,0,0,1
37,36,47.22,423,1,0,1,0,0,0,0,1,0,1
38,60,97.11,202,0,0,1,0,0,0,1,0,0,1
39,26,46.16,495,0,0,1,0,0,0,1,0,1,0
40,45,70.11,162,0,1,0,1,0,0,0,0,0,1
41,55,72.67,101,1,0,1,0,0,0,1,0,0,1
42,19,39.69,294,0,1,0,0,0,0,1,0,0,1
43,20,79.84,122,1,1,0,0,0,0,1,0,0,1
44,26,82.46,305,0,1,0,0,1,0,0,0,1,0
45,37,92.78,212,1,1,0,0,0,0,0,1,0,1
46,63,64.82,220,1,1,0,1,0,0,0,0,1,0
